amp_b,phase_b_deg,score,avg_rms_bias_deg,p95_rms_bias_deg,avg_max_abs_bias_deg,max_abs_bias_deg,avg_valid_percent,avg_reference_monotonic_percent,curve_count,pdoa_rms_target_met,pdoa_max_target_met
0.925,-100.0,118.0238370982939,48.38554420087549,77.38113213532581,137.84172600367444,179.98008802959646,99.66704718417047,72.2760172143975,288,False,False
0.95,-82.5,118.03347489976441,47.898810774977264,81.00439673156791,135.15165120754293,179.92534209332268,99.66704718417047,71.65906705666094,288,False,False
1.1,-97.5,118.08196254649069,47.65599610290383,78.72297243082588,136.93078953830377,179.9811912886861,99.82401065449011,71.5582616066771,288,False,False
0.9,-97.5,118.17858960217897,48.2775032509814,77.2964254120737,137.8945925047978,179.75499978108462,99.6908295281583,72.18146844027126,288,False,False
1.025,-80.0,118.22951714978693,48.03657054545591,81.57124777816453,135.2738627232885,179.93223410035552,99.5291095890411,71.21016997043992,288,False,False
0.95,-102.5,118.23015696582699,48.76050616591835,77.61057913593147,138.71492965434004,179.97194616249305,99.70509893455099,72.19912841245001,288,False,False
1.05,-102.5,118.31970083760709,48.45210378422531,78.49896032477214,138.37592881835596,179.9877886927361,99.76217656012176,72.25509693966268,288,False,False
0.875,-90.0,118.32012181696038,48.077793606975874,79.42423372247285,137.36465641119003,179.94408289444766,99.6908295281583,71.73646042924211,288,False,False
1.125,-95.0,118.33169179807336,47.56167841534808,79.05847011967592,137.02065638560865,179.89773076130598,99.78120243531203,71.42074670243684,288,False,False
1.15,-90.0,118.33464363269299,47.581339733486935,79.88249767825658,136.85281260772837,179.97502833309386,99.69558599695586,71.34900452095287,288,False,False
1.075,-100.0,118.34679420104476,48.001269465932054,79.02173247280128,138.01349849421564,179.6979116146598,99.78120243531203,71.928546588171,288,False,False
1.125,-87.5,118.34937086496431,47.44402883747142,80.40339786494012,136.37523209621276,179.99799216921923,99.595700152207,71.33487654320987,288,False,False
1.025,-105.0,118.35891294859508,49.03158160118477,77.93254222317414,138.85940944745815,179.93088828723205,99.74790715372907,72.35182701145143,288,False,False
0.975,-80.0,118.43402952270169,48.1694990387011,81.69379765648401,135.02388222686386,179.94818930809106,99.60521308980213,71.40471688153613,288,False,False
0.875,-92.5,118.47776346172728,48.12284020508686,78.54991530226434,137.74635777510863,179.6973900721871,99.68607305936072,71.75572726482352,288,False,False
0.975,-105.0,118.52609733381445,49.133987723839,77.99607786717041,139.1894982816721,179.99828896601582,99.72412480974124,72.35158637007228,288,False,False
1.1,-85.0,118.54159702260122,47.58225628842045,80.80012726446205,136.37031941157153,179.99216358143627,99.60521308980213,71.41203703703704,288,False,False
1.15,-92.5,118.63332670461024,47.556089785629496,79.37471108341387,136.90445072109944,179.85327073996132,99.70985540334856,71.42073893981171,288,False,False
1.0,-107.5,118.6945895325344,49.77332912574632,77.6325009909027,139.55005864770874,179.91286673355853,99.74790715372907,72.41159146235437,288,False,False
1.075,-82.5,118.78486146510376,47.76904059755463,81.2064149498688,135.79657796330073,179.91672284415085,99.58618721461187,71.25391236306729,288,False,False
0.875,-95.0,118.84348630989763,48.268452972773154,77.8291938445917,137.84306357282492,179.98139840342697,99.65753424657534,72.18146844027126,288,False,False
1.1,-100.0,118.97989247849819,48.09344533074089,78.47525579947573,137.8895103360791,179.97353394406974,99.81449771689498,71.83182427900738,288,False,False
0.9,-100.0,118.98484874967676,48.616157584764174,77.0340865033724,138.37253098868885,179.74087145803912,99.61948249619483,72.29560231760937,288,False,False
1.0,-77.5,118.98651557204349,48.54116323932038,82.44212192784231,134.87704528344264,179.93679360347326,99.56240487062405,71.15229960006955,288,False,False
1.125,-97.5,118.99762793498101,47.83091989175815,78.64748586222437,137.14196437591787,179.879556279513,99.8525494672755,71.42157730332613,288,False,False
0.925,-102.5,119.1214161969923,48.92427393899294,77.28026800816035,138.71387803060816,179.9400311556205,99.69558599695586,72.33470266040689,288,False,False
1.15,-95.0,119.13940193462146,47.68441756992261,78.918946792458,137.156338571487,179.8333007359515,99.78595890410958,71.36259687756166,288,False,False
1.05,-80.0,119.14111191677598,48.042931673463634,81.66653384148636,135.38532353033742,179.98224795711536,99.54337899543378,71.11427049954045,288,False,False
1.175,-90.0,119.15717502087968,47.76313407034163,79.72238212806938,137.14493555031828,179.7736836310474,99.68131659056317,71.29140584246218,288,False,False
1.05,-105.0,119.16422619216016,49.013438145947525,77.92586337929637,138.7168119998584,179.92728495055064,99.76693302891933,72.44854932061506,288,False,False
1.15,-87.5,119.2839858831297,47.61800529116907,80.38429094173968,136.62474858117858,179.98029948589556,99.61472602739725,71.23842592592592,288,False,False
0.925,-82.5,119.33077868851194,48.0202542929978,81.49751732296527,135.91696810322148,179.6786675198091,99.65277777777777,71.5821161537124,288,False,False
0.9,-85.0,119.36943362103449,48.03520661064079,80.9137214914534,136.48024449070337,179.86094667025577,99.70034246575342,71.62232655190401,288,False,False
1.125,-85.0,119.49045060941847,47.684954550714735,80.90471659638459,136.59539848348487,179.97715647397513,99.61472602739725,71.31558641975309,288,False,False
0.875,-87.5,119.492402479019,48.0899945833235,80.38731570351706,136.91101108873184,179.92350913019027,99.66704718417047,71.65792595076633,288,False,False
1.075,-102.5,119.49652566562217,48.50295110116787,79.06958606523727,138.42795666100707,179.91110540516456,99.79071537290716,72.21707560175871,288,False,False
1.175,-92.5,119.50606762955397,47.741688576644755,79.22106833723915,137.16788972633,179.97659142550037,99.73363774733637,71.32428832252776,288,False,False
1.025,-107.5,119.52863068910696,49.724924433541766,77.68315842089511,139.5695827392838,179.95081752897488,99.78120243531203,72.49038210745957,288,False,False
1.025,-77.5,119.62467597069806,48.4718542614514,82.18037744551826,134.975111318882,179.94777646738203,99.50532724505327,71.23028293216086,288,False,False
0.975,-107.5,119.6348811037435,49.87254123724832,77.56450602100762,139.90958432886268,179.9666638206479,99.74790715372907,72.48768847653825,288,False,False
0.95,-80.0,119.67081842284324,48.27437721973275,82.16184886930682,134.99779963748554,179.83059810514192,99.64802130898022,71.54359024517476,288,False,False
1.1,-82.5,119.69776281123373,47.81431336038449,81.30767439645135,136.09436131671126,179.97870907167209,99.5671613394216,71.1963136845766,288,False,False
1.125,-100.0,119.75419917324027,48.16106507585672,78.31676038742897,137.81203583915618,179.96811456414022,99.81925418569254,71.69459659189707,288,False,False
0.95,-105.0,119.7937839272829,49.45965460668789,78.0880776988601,140.31375963685977,179.92555262658016,99.7574200913242,72.37491305859851,288,False,False
0.875,-97.5,119.79574875724484,48.5457395382348,77.95689886595987,138.05427445365123,179.81277581443555,99.65277777777777,72.18174013215094,288,False,False
1.15,-97.5,119.804900722292,47.934188408228046,78.52170170714943,137.2040616734789,179.99114130346936,99.84303652968036,71.45987809573491,288,False,False
0.975,-77.5,119.93475347751568,48.57975930803259,82.53605170883064,134.77992324838502,179.7892104502826,99.57191780821918,71.1917026852473,288,False,False
1.175,-95.0,119.99605165811482,47.853064624678936,78.77402503884987,137.2947324946084,179.98789533058812,99.80022831050229,71.3430350622252,288,False,False
1.2,-90.0,120.00843775537541,47.93755967834896,79.56073559219362,137.35184060941023,179.9947598598793,99.71461187214612,71.21397365675534,288,False,False
1.075,-80.0,120.01056100897397,48.054962934252345,81.76084775496531,135.70294749210953,179.91495715537184,99.51959665144597,71.15340189283852,288,False,False
1.0,-110.0,120.06087558871049,50.630094553996294,77.42452087020585,141.1748186664127,179.96966613362417,99.77168949771689,72.49065379933924,288,False,False
