"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
20,8,70,-934.758246997973,70,2864.87572265963,70,-2182.48985455405,70,-2202.11543032468
20,8,75,-1153.8644457212,75,2621.67173255727,75,-2087.17951985206,75,-2495.90009156954
20,8,80,-1347.92922040578,80,2353.93585619322,80,-1980.33693830487,80,-2750.51436443144
20,8,85,-1517.86617346003,85,2068.63379755784,85,-1867.43421173564,85,-2964.52466067551
20,8,90,-1665.62116209902,90,1772.42220269927,90,-1753.28720839883,90,-3137.63673997103
25,8,0,2387.79393414851,0,1268.9992808375,0,88.470210212409,0,2419.14926139652
25,8,5,2295.09280198877,5,1684.22135710319,5,-318.102938864208,5,2312.82970784474
25,8,10,2142.79662573358,10,2080.08639330777,10,-701.541728712808,10,2136.26434612952
25,8,15,1937.02439617565,15,2444.2832062075,15,-1052.09057596704,15,1893.23649189138
25,8,20,1685.55311047827,20,2765.6626526062,20,-1361.64224718157,20,1590.07701004255
25,8,25,1397.39106338711,25,3034.78161643344,25,-1624.00211322835,25,1235.34524271335
25,8,30,1082.32135290005,30,3244.33197604949,30,-1835.04500629498,30,839.383864951708
25,8,35,750.44231280751,35,3389.42542642902,35,-1992.76756800023,35,413.779255626723
25,8,40,411.726981530252,40,3467.71957371279,40,-2097.24407007142,40,-29.2343970543751
25,8,45,75.618353675678,45,3479.3859333162,45,-2150.49658651943,45,-477.385478374874
25,8,50,-249.327653210847,50,3426.93418117715,50,-2156.29155532694,50,-918.947542070321
25,8,55,-555.74293136911,55,3314.91762485519,55,-2119.87508485582,55,-1343.25447063732
25,8,60,-837.684742969875,60,3149.55156552227,60,-2047.65973936019,60,-1741.11442902721
25,8,65,-1090.8039300039,65,2938.27901227446,65,-1946.87644272116,65,-2105.09784520181
25,8,70,-1312.43831320595,70,2689.31772925292,70,-1825.20638307654,70,-2429.68615490574
25,8,75,-1501.62746618927,75,2411.21983358778,75,-1690.40870849844,75,-2711.28085531987
25,8,80,-1659.04794831285,80,2112.47109302015,80,-1549.95966208486,80,-2948.0850299478
25,8,85,-1786.87186055139,85,1801.15232142244,85,-1410.71734256649,85,-3139.88055486002
25,8,90,-1888.55547574243,90,1484.67992756466,90,-1278.62390026734,90,-3287.73269328642
30,8,0,2203.33227470966,0,1215.02030583857,0,109.713709270037,0,2314.90558063629
30,8,5,2095.12173060655,5,1648.5479887201,5,-302.732435151347,5,2224.54909982369
30,8,10,1922.37273008874,10,2061.47378170875,10,-687.466863116624,10,2055.68295693799
30,8,15,1692.71885862046,15,2439.22203357194,15,-1033.59796180963,15,1812.54096198922
30,8,20,1415.66952752915,20,2768.73518216603,20,-1332.33052112486,20,1502.50714093451
30,8,25,1102.04483704874,25,3039.19516550818,25,-1577.23595760661,25,1135.69105208139
30,8,30,763.391673888892,30,3242.56369071565,30,-1764.38035164087,30,724.338492391026
30,8,35,411.419901366243,35,3373.89946193593,35,-1892.32355327949,35,282.125563129326
30,8,40,57.4874551595478,40,3431.43959979654,40,-1962.00948110878,40,-176.61057050585
30,8,45,-287.849182723057,45,3416.46109292181,45,-1976.56895267988,45,-637.649766565891
30,8,50,-615.213653710746,50,3332.96055852443,50,-1941.05319473857,50,-1087.62262547166
30,8,55,-916.718397554257,55,3187.20330728826,55,-1862.11156435384,55,-1514.64977968313
30,8,60,-1186.20470713,60,2987.19510911205,60,-1747.62420894714,60,-1908.84282805693
30,8,65,-1419.41190426649,65,2742.12431290975,65,-1606.30112115279,65,-2262.63352231545
30,8,70,-1614.06915838127,70,2461.81200358047,70,-1447.26254183984,70,-2570.91295110945
30,8,75,-1769.90206125887,75,2156.19788849242,75,-1279.61923526966,75,-2830.98051718782
30,8,80,-1888.54890010338,80,1834.88266835766,80,-1112.07188491116,80,-3042.32055656124
30,8,85,-1973.38760194757,85,1506.74474200055,85,-952.545404084126,85,-3206.23986112306
30,8,90,-2029.28100749803,90,1179.64888588912,90,-807.867436628497,90,-3325.410875123
35,8,0,2024.20875643186,0,1165.82991166387,0,117.438192514174,0,2175.18927143402
35,8,5,1901.37422146847,5,1609.357583112,5,-290.814769075244,5,2101.71113180665
35,8,10,1710.51743859851,10,2031.08122357717,10,-667.230331926432,10,1943.33712980036
35,8,15,1460.73382547427,15,2414.23441502552,15,-1000.19302311114,15,1704.69302959719
35,8,20,1163.16825577402,20,2743.97734733842,20,-1280.61886243522,20,1394.13587219855
35,8,25,830.30274674451,25,3008.33805691017,25,-1502.20753987839,25,1023.19809432776
35,8,30,475.232974296553,30,3198.87578093332,30,-1661.51115881824,30,605.833794526559
35,8,35,110.992422342734,35,3311.00230003361,35,-1757.84851628685,35,157.540928463682
35,8,40,-250.031325082068,40,3343.95392987474,40,-1793.10539676078,40,-305.569840455207
