window_start_phi_deg,window_stop_phi_deg,sample_count,gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,gain_total_max_dbi,gain_total_max_theta_deg,gain_total_max_phi_deg,candidate,candidate_index
40.0,310.0,550,-13.2463929912378,50.0,255.0,3.78600441604536,70.0,40.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
45.0,315.0,550,-13.2463929912378,50.0,255.0,3.28732567938635,75.0,45.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
50.0,320.0,550,-13.2463929912378,50.0,255.0,3.47875843038729,90.0,320.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
55.0,325.0,550,-13.2463929912378,50.0,255.0,3.87337878463501,90.0,325.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
60.0,330.0,550,-13.2463929912378,50.0,255.0,4.20115663854093,90.0,330.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
65.0,335.0,550,-13.2463929912378,50.0,255.0,4.46926525655682,45.0,335.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
70.0,340.0,550,-13.2463929912378,50.0,255.0,4.73782090315835,45.0,340.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
75.0,345.0,550,-13.2463929912378,50.0,255.0,4.90525524206302,45.0,345.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
80.0,350.0,550,-13.2463929912378,50.0,255.0,5.00026187412999,45.0,350.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
85.0,355.0,550,-13.2463929912378,50.0,255.0,5.0659944025002,90.0,355.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
90.0,0.0,550,-13.2463929912378,50.0,255.0,5.10027786268067,45.0,0.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
95.0,5.0,550,-13.2463929912378,50.0,255.0,5.14474378573695,45.0,5.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
100.0,10.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
105.0,15.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
110.0,20.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
115.0,25.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
120.0,30.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
125.0,35.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
130.0,40.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
135.0,45.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
140.0,50.0,550,-13.2463929912378,50.0,255.0,5.17941914459341,45.0,10.0,edgeifa_s17_h5p8_l4p8_f0p75_g0p25,2
