window_start_phi_deg,window_stop_phi_deg,sample_count,gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,gain_total_max_dbi,gain_total_max_theta_deg,gain_total_max_phi_deg,candidate,candidate_index
40.0,310.0,110,-2.34756184830061,90.0,90.0,4.87136046957852,45.0,40.0,h5p8_l8p6_w8p0_feed1p20,3
45.0,315.0,100,-2.34756184830061,90.0,90.0,4.74382367763168,45.0,45.0,h5p8_l8p6_w8p0_feed1p20,3
50.0,320.0,90,-2.34756184830061,90.0,90.0,4.58605797079094,45.0,50.0,h5p8_l8p6_w8p0_feed1p20,3
55.0,325.0,80,-2.34756184830061,90.0,90.0,4.40142736504616,45.0,55.0,h5p8_l8p6_w8p0_feed1p20,3
60.0,330.0,70,-2.34756184830061,90.0,90.0,4.1950972728233,45.0,60.0,h5p8_l8p6_w8p0_feed1p20,3
65.0,335.0,60,-2.34756184830061,90.0,90.0,3.97305760492266,45.0,65.0,h5p8_l8p6_w8p0_feed1p20,3
70.0,340.0,50,-2.34756184830061,90.0,90.0,3.74088520563031,45.0,70.0,h5p8_l8p6_w8p0_feed1p20,3
75.0,345.0,40,-2.34756184830061,90.0,90.0,3.50255146977753,45.0,75.0,h5p8_l8p6_w8p0_feed1p20,3
80.0,350.0,30,-2.34756184830061,90.0,90.0,3.25966368984578,45.0,80.0,h5p8_l8p6_w8p0_feed1p20,3
85.0,355.0,20,-2.34756184830061,90.0,90.0,3.01138918109722,45.0,85.0,h5p8_l8p6_w8p0_feed1p20,3
90.0,0.0,20,-2.34756184830061,90.0,90.0,5.08890798659805,45.0,0.0,h5p8_l8p6_w8p0_feed1p20,3
0.0,270.0,190,-3.69501759310219,90.0,90.0,4.83813016524402,45.0,25.0,h4p5_l10p4_w8p6_feed1p65,4
5.0,275.0,180,-3.69501759310219,90.0,90.0,4.83813016524402,45.0,25.0,h4p5_l10p4_w8p6_feed1p65,4
10.0,280.0,170,-3.69501759310219,90.0,90.0,4.83813016524402,45.0,25.0,h4p5_l10p4_w8p6_feed1p65,4
15.0,285.0,160,-3.69501759310219,90.0,90.0,4.83813016524402,45.0,25.0,h4p5_l10p4_w8p6_feed1p65,4
20.0,290.0,150,-3.69501759310219,90.0,90.0,4.83813016524402,45.0,25.0,h4p5_l10p4_w8p6_feed1p65,4
