"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
40,8,70,-3628.3797689092,70,3465.92109564754,70,-2257.76406759932,70,1699.27380660431
40,8,75,-3744.76965050696,75,3637.21615567414,75,-1927.49111001841,75,1591.49444163144
40,8,80,-3838.58070466547,80,3788.92813920924,80,-1582.22814121411,80,1471.22141592206
40,8,85,-3908.90946530783,85,3917.27444514336,85,-1223.78661080525,85,1336.7561782884
40,8,90,-3953.66154673523,90,4018.90900645365,90,-854.876613769991,90,1186.4878657725
45,8,0,-31.2255462241486,0,43.136120371277,0,-4502.30239210876,0,2273.18006694861
45,8,5,-315.812866161369,5,344.347332328774,5,-4500.72132973361,5,2269.35691210517
45,8,10,-600.64526767577,10,644.90703901976,10,-4479.61790005557,10,2260.44102181613
45,8,15,-887.757798156156,15,942.544183793922,15,-4437.73933014497,15,2246.87721013644
45,8,20,-1179.05309889117,20,1234.9243962624,20,-4373.06880046737,20,2228.97488871808
45,8,25,-1475.04697915607,25,1519.83592505006,25,-4283.10485157384,25,2206.46890953291
45,8,30,-1773.76746354586,30,1795.44954378816,30,-4165.49797626208,30,2178.43706911926
45,8,35,-2070.38028829058,35,2060.62265005525,35,-4018.7875255619,35,2143.6100953327
45,8,40,-2357.84229690701,40,2315.12197573345,40,-3842.88488374444,40,2100.88311363472
45,8,45,-2628.4204288885,45,2559.5906571812,45,-3639.05957963016,45,2049.72637300435
45,8,50,-2875.50309688293,50,2795.14897299864,50,-3409.44729988491,50,1990.26240687301
45,8,55,-3094.99641743296,55,3022.68588066177,55,-3156.34896730797,55,1922.97871792583
45,8,60,-3285.80329795295,60,3242.079832603,60,-2881.67242039327,60,1848.24956625836
45,8,65,-3449.29980464695,65,3451.66549925104,65,-2586.74730850224,65,1765.92416894407
45,8,70,-3588.12295686866,70,3648.17811730022,70,-2272.52120834152,70,1675.16569116695
45,8,75,-3704.78418407346,75,3827.20045914599,75,-1939.97125740387,75,1574.56206679876
45,8,80,-3800.57619023556,80,3983.92315990453,80,-1590.52772849962,80,1462.38843128808
45,8,85,-3875.02999604979,85,4113.91868882748,85,-1226.38154800225,85,1336.86259735383
45,8,90,-3925.93871554369,90,4213.66514379074,90,-850.648185612384,90,1196.3047276976
50,8,0,-44.2192240167982,0,38.3372097649868,0,-4381.72149748471,0,2237.8819734152
50,8,5,-314.844044034486,5,352.733540816877,5,-4372.18229295893,5,2234.72773596879
50,8,10,-581.424863936492,10,667.172465153164,10,-4343.63289552327,10,2224.60345396579
50,8,15,-846.702651234339,15,979.162259236707,15,-4296.61705945829,15,2209.40031684961
50,8,20,-1114.80543734214,20,1286.14317939188,20,-4230.65606134842,20,2190.80034865607
50,8,25,-1389.29239413834,25,1585.61088584725,25,-4144.08044382733,25,2169.30508871457
50,8,30,-1670.93905231688,30,1875.36392825067,30,-4034.47521811541,30,2143.93691384582
50,8,35,-1956.32653504509,35,2153.90149107805,35,-3899.51520364716,35,2112.72463238417
50,8,40,-2238.01345246109,40,2420.81088931664,40,-3737.7412909948,40,2073.65557379441
50,8,45,-2506.34314751222,45,2676.85309208585,45,-3548.88707481874,45,2025.53814477608
50,8,50,-2752.1505455603,50,2923.51929714839,50,-3333.66817911471,50,1968.31249521073
50,8,55,-2969.2165817243,55,3162.09742220177,55,-3093.27505865224,55,1902.70259047167
50,8,60,-3155.48945777048,60,3392.59603504524,60,-2828.93651701844,60,1829.48459638807
50,8,65,-3312.71874083346,65,3613.0121309426,65,-2541.78836574144,65,1748.81846753828
50,8,70,-3444.85944276911,70,3819.29275096275,70,-2233.031649524,70,1659.97630852703
50,8,75,-3556.03658964612,75,4006.00908160878,75,-1904.19951780661,75,1561.51748499681
50,8,80,-3648.86456094107,80,4167.4369288236,80,-1557.36410319571,80,1451.70680316095
50,8,85,-3723.58558639798,85,4298.59636467169,85,-1195.24033504971,85,1328.89165984658
