"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
10,8,60,-116.786970381145,60,31.3398382408249,60,-20.7921819838988,60,22.0978583579108
10,8,65,-118.034360076948,65,36.8577080293586,65,-14.5838112914114,65,18.3115871755771
10,8,70,-118.753128537958,70,42.0112376686686,70,-8.32246370366116,70,14.0130767033405
10,8,75,-118.927575265715,75,46.7547050316966,75,-2.06248310969899,75,9.23896294560795
10,8,80,-118.548201943337,80,51.0465588923944,80,4.13999309671365,80,4.03030030828277
10,8,85,-117.612001937544,85,54.8497305846733,85,10.2281226658289,85,-1.56797807957811
10,8,90,-116.122524165273,90,58.131898507573,90,16.1454301093839,90,-7.50756062660854
15,8,0,-82.8910882513115,0,-39.9134818138124,0,-81.1240327856816,0,-1.52860106326477
15,8,5,-87.8858160664181,5,-34.8133198496932,5,-78.2828927699038,5,1.22721704900668
15,8,10,-92.8305392099356,10,-29.4726059181155,10,-75.0982289699568,10,3.58086032486452
15,8,15,-97.708183689709,15,-23.9157900381455,15,-71.576482302935,15,5.48880661552277
15,8,20,-102.49678082627,20,-18.1763182665906,20,-67.7210693472982,20,6.90799868016165
15,8,25,-107.168348214902,25,-12.2966223828232,25,-63.5340345137208,25,7.79872670572374
15,8,30,-111.688358738176,30,-6.32725760756772,30,-59.0181480225506,30,8.12737871028347
15,8,35,-116.015910987763,35,-0.325299449619917,35,-54.1792359454204,35,7.86874560693627
15,8,40,-120.104639092323,40,5.64778893244869,40,-49.0284788550034,40,7.00762819513587
15,8,45,-123.904309067932,45,11.5285393489559,45,-43.5843979277106,45,5.53959698689902
15,8,50,-127.362955656335,50,17.2538103313084,50,-37.8742704715437,50,3.47088588999288
15,8,55,-130.42933503907,55,22.762798423479,55,-31.9347826667747,55,0.817533244990686
15,8,60,-133.05542152415,60,27.998537929229,60,-25.8118283829746,60,-2.39600780374163
15,8,65,-135.198672231092,65,32.9088077141259,65,-19.5594827189371,65,-6.13850528058375
