"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
10,8,55,422.181624807322,55,-2136.8967287964,55,74.0504895489319,55,-95.6732251006416
10,8,60,427.475655715259,60,-2146.16100521402,60,76.4859803444959,60,-97.7289318552752
10,8,65,433.298307353564,65,-2155.22954025654,65,78.3536078874407,65,-98.8703680378177
10,8,70,439.606861263612,70,-2164.04761819127,70,79.4965561457973,70,-99.1721890832564
10,8,75,446.322126540097,75,-2172.58368964359,75,79.7684443158431,75,-98.704883628166
10,8,80,453.329936248508,80,-2180.82382150109,80,79.0430002904019,80,-97.5302627457454
10,8,85,460.485392771081,85,-2188.76555258039,85,77.2227579918476,85,-95.6990894936554
10,8,90,467.619596849639,90,-2196.41197933405,90,74.2461025173315,90,-93.2507405645832
15,8,0,576.320898141696,0,-2978.14992434489,0,38.9497584862608,0,-4.89517833703891
15,8,5,579.47498128034,5,-2980.87379184202,5,39.8209426789963,5,-17.8546841511422
15,8,10,582.35207181659,10,-2985.49050455101,10,40.7483269894207,10,-30.5733893248856
15,8,15,584.893989545453,15,-2991.84362488614,15,41.8311477454416,15,-42.6336040773325
15,8,20,587.068860001288,20,-2999.67705012478,20,43.1801771450271,20,-53.6800160788822
15,8,25,588.884225644211,25,-3008.66209071446,25,44.9035601940167,25,-63.4409185562335
15,8,30,590.395481440812,30,-3018.42934726802,30,47.0897540878806,30,-71.7399912513737
15,8,35,591.707943254705,35,-3028.60198102575,35,49.7902192302579,35,-78.4983290951387
15,8,40,592.971798396314,40,-3038.82702758308,40,53.004616186208,40,-83.7273965422802
15,8,45,594.370208759448,45,-3048.801779033,45,56.6709012602229,45,-87.5144100913587
15,8,50,596.101797289434,50,-3058.29290276326,50,60.6619693209175,50,-90.0022678544374
15,8,55,598.359521804477,55,-3067.1468134022,55,64.7895142166752,55,-91.3665320151691
15,8,60,601.308427041734,60,-3075.29079767939,60,68.8147472275159,60,-91.7921178971213
15,8,65,605.064907664436,65,-3082.7254266396,65,72.4647134168477,65,-91.4522417013264
15,8,70,609.67990646927,70,-3089.50977191597,70,75.4523175407459,70,-90.4918185945871
15,8,75,615.127965280201,75,-3095.74175119964,75,77.497891745247,75,-89.0168920444855
15,8,80,621.303341108257,80,-3101.53644127293,80,78.3502026316777,80,-87.0908604936479
15,8,85,628.023621102496,85,-3107.00532339431,85,77.8051271172978,85,-84.7373440851435
15,8,90,635.040531908289,90,-3112.23913390655,90,75.7206981454825,90,-81.9486378439903
20,8,0,725.639775748863,0,-3712.05588130272,0,40.2717156592789,0,-6.32077304461169
20,8,5,730.699344359158,5,-3716.16962542322,5,40.2041361308522,5,-20.9591491048094
20,8,10,735.591151905479,10,-3722.92524133021,10,39.8295545966245,10,-34.9800724942514
20,8,15,740.027951547175,15,-3731.94642511683,15,39.2930855892504,15,-47.7776945393887
20,8,20,743.738673082764,20,-3742.69390649721,20,38.8099875842344,20,-58.8923981199547
20,8,25,746.513693238265,25,-3754.5263595217,25,38.6365808015644,25,-68.0366197138134
20,8,30,748.242585468525,30,-3766.76792094597,30,39.0311776759898,30,-75.1001008707883
20,8,35,748.939102827491,35,-3778.77492756803,35,40.211803556718,35,-80.1363654251013
20,8,40,748.749790972669,40,-3789.99503331296,40,42.3178558102567,40,-83.3340902318653
20,8,45,747.944616656099,45,-3800.01301878736,45,45.3819293610205,45,-84.978062196543
20,8,50,746.890260934415,50,-3808.57915716311,50,49.316049938838,50,-85.4047061915879
20,8,55,746.009086241898,55,-3815.61781737671,55,53.9139162541765,55,-84.9570113131297
20,8,60,745.728903376132,60,-3821.2160160545,60,58.8679987027163,60,-83.9433435084298
20,8,65,746.43010599002,65,-3825.59382402251,65,63.7980384087851,65,-82.6042004690197
20,8,70,748.39713898867,70,-3829.0607354646,70,68.2860941743025,70,-81.0903202433637
