"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
25,8,45,2351.64528869044,45,-4277.1254096474,45,207.847091010238,45,-5936.09110542993
25,8,50,2893.01924027787,50,-4510.3917917115,50,633.470909154063,50,-5377.19533508194
25,8,55,3505.88938106354,55,-4664.46849574963,55,977.363613315265,55,-4786.36843072788
25,8,60,4175.09000241433,60,-4736.46746129817,60,1225.17182919287,60,-4179.6512493285
25,8,65,4882.82133318338,65,-4726.86392622784,65,1365.67217874858,65,-3573.82056958204
25,8,70,5609.37831934156,70,-4639.77926634254,70,1391.3814708552,70,-2985.51840953506
25,8,75,6334.07742631453,75,-4482.94283098769,75,1298.94986288014,75,-2430.27367414809
25,8,80,7036.27364576877,80,-4267.29710867904,80,1089.28164871112,80,-1921.52277921283
25,8,85,7696.34616528388,85,-4006.27128041056,85,767.378250441087,85,-1469.75214876212
25,8,90,8296.5496372092,90,-3714.80608276573,90,341.943439308347,90,-1081.87569306491
30,8,0,1939.39537211297,0,-790.574444208224,0,-5080.52502732352,0,-7481.76714856794
30,8,5,1638.52207058465,5,-1245.54757527747,5,-4726.95274595888,5,-7577.86792728236
30,8,10,1412.32010820173,10,-1700.87275022496,10,-4281.66365531254,10,-7589.07679816933
30,8,15,1273.93609328811,15,-2149.09445531052,15,-3761.45275927908,15,-7512.69599381896
30,8,20,1232.78071125631,20,-2581.59667721695,20,-3185.35010226427,20,-7347.62242216703
30,8,25,1294.80820597105,25,-2988.69385589168,25,-2573.69808018447,25,-7094.82610956041
30,8,30,1462.90389585603,30,-3359.88046830083,30,-1947.48859956125,30,-6757.70972586885
30,8,35,1737.17528212584,35,-3684.2057857126,35,-1327.95035384066,35,-6342.32060953861
30,8,40,2115.00034836552,40,-3950.76261538892,40,-736.277299901453,40,-5857.43182474861
30,8,45,2590.80553527088,45,-4149.30611005435,45,-193.334416524693,45,-5314.52192516676
30,8,50,3155.68340902425,50,-4271.02236530511,50,280.810045503461,50,-4727.65828748773
30,8,55,3797.06117618882,55,-4309.42981296698,55,667.598275084424,55,-4113.24333702415
30,8,60,4498.65239742417,60,-4261.32695828765,60,950.902050664608,60,-3489.54837991456
30,8,65,5240.85453425071,65,-4127.62819553927,65,1118.0048839387,65,-2875.96450435549
30,8,70,6001.62194151238,70,-3913.89306493529,70,1160.45442480321,70,-2291.95299931238
30,8,75,6757.70109232748,75,-3630.37834372112,75,1074.61135474497,75,-1755.76296356975
30,8,80,7486.01676373025,80,-3291.52583507895,80,861.797330158417,80,-1283.06854343848
30,8,85,8164.97639073094,85,-2914.91571997137,85,528.044354992318,85,-885.729241352463
30,8,90,8775.51255643751,90,-2519.82795828744,90,83.5321713543535,90,-570.874707414467
35,8,0,2085.73471739964,0,-1507.85375791211,0,-5640.56703587436,0,-7007.48185969781
