"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
50,8,20,-1899.86820536777,20,10320.0804950874,20,1628.95525896755,20,-1366.98537139425
50,8,25,-1477.88036978225,25,10259.0733981922,25,1709.45318954262,25,-1601.0925137389
50,8,30,-983.787787187747,30,10192.2557675409,30,1726.59708456555,30,-1828.50167074507
50,8,35,-430.529493211952,35,10110.6887423902,35,1665.64598735541,35,-2050.72040536373
50,8,40,163.711364371973,40,10002.5637691297,40,1515.91678653242,40,-2266.61895503388
50,8,45,776.458194402864,45,9856.31372434051,45,1272.85411239234,45,-2472.68207543093
50,8,50,1382.94416584667,50,9663.99771927779,50,938.999551101036,50,-2664.1115784362
50,8,55,1958.79217979734,55,9423.53306182481,55,523.564827421937,55,-2836.16950739412
50,8,60,2482.66972694603,60,9138.79481326554,60,40.8687535238452,60,-2985.01406473347
50,8,65,2938.172989122,65,8817.61029851888,65,-491.676005314274,65,-3107.5634799626
50,8,70,3314.49708858195,70,8468.69705404396,70,-1055.27543771261,70,-3200.47617348058
50,8,75,3605.95740957481,75,8099.05963322324,75,-1630.72578450456,75,-3258.84759144359
50,8,80,3810.87622204675,80,7713.0412984032,80,-2198.68520175198,80,-3275.42037597748
50,8,85,3930.51380170345,85,7313.3458279696,85,-2739.66043126277,85,-3240.90520810798
50,8,90,3968.54361709123,90,6903.40152664867,90,-3234.21498884089,90,-3145.54613953686
55,8,0,-3233.97660809857,0,10044.4334596433,0,826.257865848438,0,-332.643341846684
55,8,5,-3150.61490192176,5,10007.9167302649,5,1019.56162676631,5,-590.525411962014
55,8,10,-2989.41731168218,10,9962.26206854611,10,1209.96334715323,10,-830.445622047586
55,8,15,-2746.84724689888,15,9912.49156030396,15,1387.83407206855,15,-1053.03565338964
55,8,20,-2420.67425839625,20,9862.77903188228,20,1540.23601175939,20,-1261.40741484796
55,8,25,-2011.76722263476,25,9814.0867411345,25,1651.17159128633,25,-1459.98891190396
55,8,30,-1525.81174658188,30,9762.09755237712,30,1703.15930745769,30,-1652.63377341491
55,8,35,-974.565228531194,35,9696.84356195474,35,1679.97870161593,35,-1840.83970525756
55,8,40,-376.119909420566,40,9604.8160830721,40,1569.85789882907,40,-2023.00872633723
55,8,45,246.276986680139,45,9473.08099252317,45,1367.99846809714,45,-2195.19998002885
55,8,50,866.856756051474,50,9293.68355483367,50,1077.46072122654,50,-2352.98496916577
55,8,55,1460.77872301163,55,9066.21301916098,55,708.115252008445,55,-2493.32055307075
55,8,60,2007.2872918036,60,8797.19778837732,60,274.264032700824,60,-2615.27536583374
55,8,65,2491.51907942033,65,8496.63633954698,65,-207.88889742838,65,-2719.07360778951
55,8,70,2904.50698029795,70,8173.47854911022,70,-721.834124322431,70,-2803.88715461358
55,8,75,3241.76056730999,75,7832.36139845572,75,-1251.01973836583,75,-2865.53202528139
55,8,80,3501.40079680048,80,7473.14223286521,80,-1778.19282680673,80,-2895.31262841656
55,8,85,3682.89346548826,85,7093.29472934148,85,-2284.6988298903,85,-2880.72663837179
55,8,90,3786.98044749827,90,6691.89982338796,90,-2750.54452422859,90,-2807.94546429816
60,8,0,-3460.01865834049,0,9570.27781715417,0,677.364446739826,0,-358.223260698962
60,8,5,-3386.50038101652,5,9542.07835323377,5,870.617954382501,5,-585.777921751545
60,8,10,-3241.74131933119,10,9504.30564778555,10,1064.03805947612,10,-795.248388153429
60,8,15,-3019.98918433364,15,9461.61348188606,15,1249.90514587561,15,-986.811196876449
60,8,20,-2716.23918640946,20,9418.7880310216,20,1416.25276015131,20,-1163.65541431522
60,8,25,-2328.57694443555,25,9377.63302155453,25,1546.93977780544,25,-1330.61430454172
60,8,30,-1860.4750065626,30,9334.02275524989,30,1623.49843724898,30,-1491.77832616167
60,8,35,-1322.5488840499,35,9277.1471934683,35,1628.55773249046,35,-1648.31345570121
60,8,40,-732.98773505359,40,9192.10458936104,40,1549.80152007134,40,-1797.82643937197
60,8,45,-115.983318430507,45,9065.16063942442,45,1382.88250901103,45,-1935.82506439526
60,8,50,501.795522353882,50,8889.20869605186,50,1131.9842586446,50,-2058.51645791733
60,8,55,1095.61933639847,55,8666.46751152549,55,807.835577719501,55,-2165.21705611196
60,8,60,1646.31803575162,60,8406.77876856519,60,424.32090140153,60,-2258.72943581266
60,8,65,2141.69859647651,65,8122.31553600682,65,-4.48082979953057,65,-2343.19509334203
60,8,70,2575.44636961927,70,7821.54362564009,70,-465.425700240392,70,-2420.42674045786
60,8,75,2944.44106778297,75,7505.6158639132,75,-945.431184477633,75,-2486.60826556568
60,8,80,3246.09010702494,80,7168.92268498061,80,-1429.62129805801,80,-2531.04551555656
