scenario,phi_window_start_deg,phi_window_stop_deg,phi_window_width_deg,strict_gain_total_min_dbi,coverage_gain_total_min_dbi,strict_realized_gain_total_min_dbi,coverage_realized_gain_total_min_dbi,lut_holdout_rms_deg,lut_holdout_p95_deg,lut_holdout_max_deg,vector_slope_p5_deg_per_deg,min_phase_vector_separation_deg,gain_pass,lut_pass,separation_pass,overall_pass
co_oriented,230,140,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,235,145,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,240,150,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,245,155,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,250,160,270,-12.3343633598952,-12.3343633598952,-12.6963681079013,-12.6963681079013,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,255,165,270,-10.388685804658,-10.388685804658,-10.7506905526641,-10.7506905526641,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,260,170,270,-8.57341024907654,-8.57341024907654,-8.9354149970827,-8.9354149970827,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,265,175,270,-9.57377997214823,-9.57377997214823,-9.93578472015439,-9.93578472015439,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,270,180,270,-11.4264738018493,-11.4264738018493,-11.7884785498554,-11.7884785498554,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,275,185,270,-11.4264738018493,-11.4264738018493,-11.7884785498554,-11.7884785498554,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,280,190,270,-11.4264738018493,-11.4264738018493,-11.7884785498554,-11.7884785498554,5.0,5.0,5.0,2.014861791727223,16.435619668863406,False,True,True,False
co_oriented,285,195,270,-11.4264738018493,-11.4264738018493,-11.7884785498554,-11.7884785498554,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
co_oriented,290,200,270,-11.4264738018493,-11.4264738018493,-11.7884785498554,-11.7884785498554,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
co_oriented,295,205,270,-11.4264738018493,-11.4264738018493,-11.7884785498554,-11.7884785498554,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
co_oriented,300,210,270,-11.4264738018493,-11.4264738018493,-11.7884785498554,-11.7884785498554,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
co_oriented,305,215,270,-11.4264738018493,-11.4264738018493,-11.7884785498554,-11.7884785498554,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
co_oriented,310,220,270,-11.4264738018493,-11.4264738018493,-11.7884785498554,-11.7884785498554,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
co_oriented,315,225,270,-11.4264738018493,-11.4264738018493,-11.7884785498554,-11.7884785498554,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
co_oriented,320,230,270,-11.4264738018493,-11.4264738018493,-11.7884785498554,-11.7884785498554,5.0,5.0,5.0,2.014861791727224,16.43561966886341,False,True,True,False
co_oriented,325,235,270,-11.4264738018493,-11.4264738018493,-11.7884785498554,-11.7884785498554,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
co_oriented,330,240,270,-12.3155067487508,-12.3155067487508,-12.677511496757,-12.677511496757,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
co_oriented,335,245,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
co_oriented,340,250,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
co_oriented,345,255,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
co_oriented,350,260,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.435619668863406,False,True,True,False
co_oriented,355,265,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.43561966886339,False,True,True,False
radial_oriented,0,270,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886339,False,True,True,False
radial_oriented,5,275,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886339,False,True,True,False
radial_oriented,10,280,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886339,False,True,True,False
radial_oriented,15,285,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,20,290,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,25,295,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.0148617917272222,16.43561966886338,False,True,True,False
radial_oriented,30,300,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.0148617917272222,16.43561966886338,False,True,True,False
radial_oriented,35,305,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727221,16.43561966886338,False,True,True,False
radial_oriented,40,310,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727221,16.43561966886338,False,True,True,False
radial_oriented,45,315,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727221,16.43561966886338,False,True,True,False
radial_oriented,50,320,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,55,325,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727221,16.43561966886338,False,True,True,False
radial_oriented,60,330,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,65,335,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,70,340,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,75,345,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,80,350,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,85,355,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,90,0,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,95,5,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,100,10,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,105,15,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,110,20,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,115,25,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,120,30,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,125,35,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,130,40,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,135,45,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.0148617917272227,16.43561966886338,False,True,True,False
radial_oriented,140,50,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,145,55,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,150,60,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727221,16.43561966886338,False,True,True,False
radial_oriented,155,65,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727221,16.43561966886338,False,True,True,False
radial_oriented,160,70,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,165,75,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,170,80,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,175,85,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,180,90,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,185,95,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,190,100,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,195,105,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,200,110,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,205,115,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,210,120,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
radial_oriented,215,125,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,220,130,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,225,135,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,230,140,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,235,145,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,240,150,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,245,155,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,250,160,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,255,165,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,260,170,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,265,175,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,270,180,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,275,185,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
radial_oriented,280,190,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.435619668863406,False,True,True,False
radial_oriented,285,195,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
radial_oriented,290,200,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
radial_oriented,295,205,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
radial_oriented,300,210,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
radial_oriented,305,215,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
radial_oriented,310,220,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
radial_oriented,315,225,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
radial_oriented,320,230,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727224,16.43561966886341,False,True,True,False
radial_oriented,325,235,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
radial_oriented,330,240,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
radial_oriented,335,245,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
radial_oriented,340,250,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
radial_oriented,345,255,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727224,16.435619668863406,False,True,True,False
radial_oriented,350,260,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.435619668863406,False,True,True,False
radial_oriented,355,265,270,-13.4411675595049,0.951315893370913,-13.8031723075111,0.58931114536476,5.0,5.0,5.0,2.014861791727223,16.43561966886339,False,True,True,False
