amp_b,phase_b_deg,score,avg_rms_bias_deg,p95_rms_bias_deg,avg_max_abs_bias_deg,max_abs_bias_deg,avg_valid_percent,avg_reference_monotonic_percent,curve_count,pdoa_rms_target_met,pdoa_max_target_met
0.875,-85.0,120.4567354763559,47.67296432590005,81.67241148297978,134.63109483085995,179.97085547374127,99.79547184170471,71.21913580246913,288,False,False
0.95,-107.5,120.46483268323914,48.95226785418689,79.00810129258545,137.51024047434893,179.8172629951771,99.67180365296804,71.77074018183174,288,False,False
1.175,-97.5,120.51393454494573,47.009152445449395,80.08446743029498,135.2591850038813,179.89706129977185,99.65753424657534,71.07351671758948,288,False,False
1.025,-75.0,120.515887507421,48.47031145786782,82.58936289793684,134.26768987387493,179.97375464732824,99.7574200913242,70.83333333333333,288,False,False
1.15,-100.0,120.5571469578158,47.29756958127742,79.87179347947324,135.39413108804087,179.87940454689942,99.7431506849315,71.11264811088755,288,False,False
0.95,-77.5,120.56727011704153,48.0835215313927,82.88543913938724,133.30721000014069,179.7908985647723,99.78595890410958,70.85262345679013,288,False,False
0.925,-80.0,120.63300477415893,47.789604920970525,82.98817385241395,133.67458165783867,179.8845855074229,99.77644596651446,70.94907407407408,288,False,False
0.9,-82.5,120.64345695386423,47.662492794460874,82.63575492140389,134.14802580113752,179.96995126851368,99.77644596651446,71.00694444444444,288,False,False
0.85,-87.5,120.65189455183133,47.743804708407325,81.22147678493283,135.37751277359257,179.9519259514019,99.7574200913242,71.29439445313858,288,False,False
0.975,-110.0,120.68334942593052,49.77366773435195,78.41506613625663,139.51414360025586,179.9719145937254,99.7431506849315,71.94865178726681,288,False,False
1.2,-95.0,120.68851961656938,46.93010025874347,80.34240325041165,135.28543329797546,179.95777423975076,99.64802130898022,71.09335022480563,288,False,False
1.2,-87.5,120.70457715070751,46.977262052404704,81.46470770377798,134.39008789428863,179.8517562109681,99.65753424657534,71.19984567901234,288,False,False
1.075,-107.5,120.7200969854354,48.75180294600522,78.49303263850477,137.29717697044003,179.95283921731476,99.77644596651446,71.84891757955138,288,False,False
0.975,-75.0,120.72503257829406,48.55551268298979,82.79910869840967,133.63290372133122,179.9285729148163,99.76693302891934,70.9104938271605,288,False,False
0.925,-105.0,120.7273915222887,48.6618461668853,79.45516118150805,137.65916939927496,179.9650943492872,99.70985540334856,71.89265997217875,288,False,False
1.0,-112.5,120.73152371683581,50.51068820417057,77.6736370527528,139.59563160077448,179.81662950447463,99.80022831050229,72.02660406885758,288,False,False
1.175,-85.0,120.73860409426864,47.009248604033644,81.67783354132231,134.42035967572667,179.68273506428727,99.6622907153729,71.08410493827161,288,False,False
1.1,-105.0,120.75440971806337,48.19269112220826,79.24176997975242,136.84847631793284,179.9553681469423,99.78120243531203,71.77313883299799,288,False,False
1.075,-77.5,120.87955480741313,47.93161923006147,82.3359662836368,134.22974653866822,179.97696867067287,99.75266362252664,70.7175925925926,288,False,False
1.15,-82.5,120.91823080325851,47.172402775777044,81.88044961072315,134.43106096387066,179.90970005934975,99.65753424657534,71.08410493827161,288,False,False
1.0,-72.5,121.02409908982366,49.13406518651173,82.76287374868757,133.7375992325026,179.82322229055922,99.77168949771689,70.83333333333333,288,False,False
1.05,-110.0,121.03339932895618,49.51089738253694,78.05648002165489,138.13054702304814,179.9077480141861,99.79071537290716,71.92635752788334,288,False,False
0.925,-77.5,121.06589186111908,48.22401659854163,81.84747074725675,133.36856293177124,179.934561288684,99.78120243531203,71.0004238393323,288,False,False
0.85,-97.5,121.06707568554104,48.12100277489768,79.15379496067624,136.50072455397307,179.64859646761704,99.64802130898022,71.67831836699207,288,False,False
1.125,-80.0,121.2159708760093,47.46714730804746,82.07121495285344,134.35070027768475,179.97440713953267,99.6908295281583,70.79475308641976,288,False,False
0.825,-90.0,121.23584985266129,48.085612307493015,80.95671701830314,136.39125369322016,179.74673608411354,99.70034246575342,71.29249260998087,288,False,False
0.875,-102.5,121.27654073970831,48.64247413444007,78.159678045175,136.6673653269427,179.74308807252748,99.70034246575342,71.87282646496261,288,False,False
1.05,-75.0,121.28217055285145,48.45434673726515,82.49670958621714,134.30528857195057,179.89196594890097,99.74790715372907,70.77546296296296,288,False,False
1.175,-100.0,121.28769244745249,47.38167632006694,79.73841807098154,135.42381246945968,179.65055463479666,99.71461187214612,71.11209696450307,288,False,False
1.2,-97.5,121.30360141442794,47.13850054396208,79.93335361928662,135.42270579926878,179.964586192632,99.65753424657534,71.0349364706759,288,False,False
0.825,-92.5,121.3988297196724,48.08890381913217,80.10409927030472,136.2022619520125,179.8918184293899,99.64802130898022,71.43031025660133,288,False,False
1.15,-102.5,121.45155258644034,47.74143636030049,79.58961545570386,135.4536026202007,179.9280932542448,99.77168949771689,71.36370693295575,288,False,False
