freq_ghz,phi_deg,baseline,linear_pol_deg,theta_deg,reference_pol_deg,raw_pdoa_deg,reference_pdoa_deg,pdoa_bias_vs_pol0_deg,pdoa_lut_correction_deg,corrected_pdoa_deg,corrected_bias_vs_pol0_deg,source_strategy,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,E1-E2,45.000000,0.000000,0.000000,34.694807,36.570383,-1.875576,-1.875576,36.570383,0.000000,calibrated_2x2_vector_correlation,-4.633799,-4.814890,True
7.738000,45.000000,E1-E2,45.000000,5.000000,0.000000,35.801357,36.961472,-1.160115,-1.160115,36.961472,0.000000,calibrated_2x2_vector_correlation,-4.711153,-4.834591,True
7.738000,45.000000,E1-E2,45.000000,10.000000,0.000000,36.835933,37.390147,-0.554214,-0.554214,37.390147,0.000000,calibrated_2x2_vector_correlation,-4.783117,-4.849077,True
7.738000,45.000000,E1-E2,45.000000,15.000000,0.000000,37.782898,37.896705,-0.113807,-0.113807,37.896705,0.000000,calibrated_2x2_vector_correlation,-4.848228,-4.857658,True
7.738000,45.000000,E1-E2,45.000000,20.000000,0.000000,38.624771,38.502554,0.122217,0.122217,38.502554,0.000000,calibrated_2x2_vector_correlation,-4.905729,-4.860054,True
7.738000,45.000000,E1-E2,45.000000,25.000000,0.000000,39.342353,39.210555,0.131798,0.131798,39.210555,0.000000,calibrated_2x2_vector_correlation,-4.955392,-4.856157,True
7.738000,45.000000,E1-E2,45.000000,30.000000,0.000000,39.915147,40.008853,-0.093706,-0.093706,40.008853,0.000000,calibrated_2x2_vector_correlation,-4.997217,-4.845670,True
7.738000,45.000000,E1-E2,45.000000,35.000000,0.000000,40.321539,40.874116,-0.552577,-0.552577,40.874116,0.000000,calibrated_2x2_vector_correlation,-5.031122,-4.827811,True
7.738000,45.000000,E1-E2,45.000000,40.000000,0.000000,40.538183,41.772108,-1.233925,-1.233925,41.772108,0.000000,calibrated_2x2_vector_correlation,-5.056698,-4.801165,True
7.738000,45.000000,E1-E2,45.000000,45.000000,0.000000,40.538265,42.656837,-2.118572,-2.118572,42.656837,0.000000,calibrated_2x2_vector_correlation,-5.073025,-4.763656,True
