freq_ghz,phi_deg,baseline,linear_pol_deg,valid_count,rms_bias_before_deg,mean_abs_bias_before_deg,max_abs_bias_before_deg,rms_bias_after_exact_lut_deg,mean_abs_bias_after_exact_lut_deg,max_abs_bias_after_exact_lut_deg
7.738000,90.000000,E3-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.738000,90.000000,E3-E4,45.000000,73,8.256750,5.847504,23.379656,0.000000,0.000000,0.000000
7.738000,90.000000,E3-E4,90.000000,73,31.712330,17.997685,163.966298,0.000000,0.000000,0.000000
7.738000,90.000000,E3-E4,135.000000,73,8.582598,6.834281,19.953990,0.000000,0.000000,0.000000
7.738000,90.000000,E4-E1,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.738000,90.000000,E4-E1,45.000000,73,4.030702,3.142991,9.928312,0.000000,0.000000,0.000000
7.738000,90.000000,E4-E1,90.000000,73,35.263934,22.052515,132.448269,0.000000,0.000000,0.000000
7.738000,90.000000,E4-E1,135.000000,73,8.410256,6.627932,18.416596,0.000000,0.000000,0.000000
7.985500,45.000000,E1-E2,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,45.000000,E1-E2,45.000000,73,7.586989,6.259077,14.242080,0.000000,0.000000,0.000000
7.985500,45.000000,E1-E2,90.000000,73,15.762019,10.468787,79.365514,0.000000,0.000000,0.000000
7.985500,45.000000,E1-E2,135.000000,73,7.371759,6.295250,14.051564,0.000000,0.000000,0.000000
7.985500,45.000000,E1-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,45.000000,E1-E3,45.000000,73,40.501722,32.269704,90.162810,0.000000,0.000000,0.000000
7.985500,45.000000,E1-E3,90.000000,73,67.293759,48.918225,172.625714,0.000000,0.000000,0.000000
7.985500,45.000000,E1-E3,135.000000,73,20.648056,16.155289,53.121409,0.000000,0.000000,0.000000
7.985500,45.000000,E2-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,45.000000,E2-E3,45.000000,73,45.090893,37.424547,81.041779,0.000000,0.000000,0.000000
7.985500,45.000000,E2-E3,90.000000,73,76.715850,61.879837,172.544125,0.000000,0.000000,0.000000
7.985500,45.000000,E2-E3,135.000000,73,37.828595,30.367143,78.668706,0.000000,0.000000,0.000000
7.985500,45.000000,E2-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,45.000000,E2-E4,45.000000,73,20.220351,16.038577,39.481801,0.000000,0.000000,0.000000
7.985500,45.000000,E2-E4,90.000000,73,52.697777,37.886545,177.746348,0.000000,0.000000,0.000000
7.985500,45.000000,E2-E4,135.000000,73,26.415840,23.362495,46.007609,0.000000,0.000000,0.000000
7.985500,45.000000,E3-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,45.000000,E3-E4,45.000000,73,30.611780,19.126515,77.682338,0.000000,0.000000,0.000000
7.985500,45.000000,E3-E4,90.000000,73,56.951536,27.889839,174.671575,0.000000,0.000000,0.000000
7.985500,45.000000,E3-E4,135.000000,73,29.211196,21.440572,87.516764,0.000000,0.000000,0.000000
7.985500,45.000000,E4-E1,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,45.000000,E4-E1,45.000000,73,25.701170,20.815665,47.839206,0.000000,0.000000,0.000000
7.985500,45.000000,E4-E1,90.000000,73,49.668251,37.022120,148.492542,0.000000,0.000000,0.000000
7.985500,45.000000,E4-E1,135.000000,73,25.480228,20.871337,55.348616,0.000000,0.000000,0.000000
7.985500,60.000000,E1-E2,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,60.000000,E1-E2,45.000000,73,9.071545,6.896489,21.165572,0.000000,0.000000,0.000000
7.985500,60.000000,E1-E2,90.000000,73,21.574893,12.193721,112.440493,0.000000,0.000000,0.000000
7.985500,60.000000,E1-E2,135.000000,73,10.795604,8.322253,24.822498,0.000000,0.000000,0.000000
7.985500,60.000000,E1-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,60.000000,E1-E3,45.000000,73,15.778256,12.639127,31.933354,0.000000,0.000000,0.000000
7.985500,60.000000,E1-E3,90.000000,73,61.370378,42.864966,171.731098,0.000000,0.000000,0.000000
7.985500,60.000000,E1-E3,135.000000,73,22.511390,17.687729,48.044418,0.000000,0.000000,0.000000
7.985500,60.000000,E2-E3,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.985500,60.000000,E2-E3,45.000000,73,24.140893,19.765171,45.280329,0.000000,0.000000,0.000000
7.985500,60.000000,E2-E3,90.000000,73,75.170589,60.549253,162.498222,0.000000,0.000000,0.000000
7.985500,60.000000,E2-E3,135.000000,73,32.426464,25.556218,70.204667,0.000000,0.000000,0.000000
7.985500,60.000000,E2-E4,0.000000,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
