freq_ghz,baseline,phi_deg,linear_pol_deg,theta_deg,measured_pdoa_deg,nominal_pdoa_deg,raw_residual_wrapped_deg,raw_residual_unwrapped_deg,raw_residual_centered_deg,phase_center_delta_x_mm,phase_center_delta_y_mm,phase_center_delta_mag_mm,calibrated_residual_deg,left_mag,right_mag,ux,uy,group
7.738000,E1-E3,45.000000,0.000000,180.000000,-89.898252,0.000000,-89.898252,-89.898252,-86.303393,-11.588133,4.805116,12.544878,-86.303393,1557.754347,1196.138418,0.000000,0.000000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,185.000000,-111.445680,-13.767512,-97.678169,-97.678169,-94.083309,-11.588133,4.805116,12.544878,-97.967624,1517.460472,1193.178332,-0.061628,-0.061628,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,190.000000,-130.459538,-27.430244,-103.029293,-103.029293,-99.434434,-11.588133,4.805116,12.544878,-107.173501,1473.358293,1190.538270,-0.122788,-0.122788,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,195.000000,-147.463094,-40.884216,-106.578878,-106.578878,-102.984019,-11.588133,4.805116,12.544878,-114.518940,1436.082226,1185.913141,-0.183013,-0.183013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,200.000000,-162.713747,-54.027034,-108.686713,-108.686713,-105.091853,-11.588133,4.805116,12.544878,-120.334841,1414.381524,1177.190389,-0.241845,-0.241845,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,205.000000,-172.979579,-66.758674,-106.220905,-106.220905,-102.626045,-11.588133,4.805116,12.544878,-121.461090,1411.814663,1163.110338,-0.298836,-0.298836,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,210.000000,-13.896961,-78.982240,65.085280,65.085280,68.680139,-11.588133,4.805116,12.544878,46.396382,1425.822325,1143.376584,-0.353553,-0.353553,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,215.000000,-25.646992,-90.604704,64.957712,64.957712,68.552572,-11.588133,4.805116,12.544878,42.989696,1449.511642,1118.313629,-0.405580,-0.405580,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,220.000000,-37.463886,-101.537611,64.073725,64.073725,67.668585,-11.588133,4.805116,12.544878,39.021139,1474.613582,1088.466865,-0.454519,-0.454519,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,225.000000,-48.904294,-111.697756,62.793462,62.793462,66.388321,-11.588133,4.805116,12.544878,34.874330,1493.915264,1054.474917,-0.500000,-0.500000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,230.000000,-60.146094,-121.007813,60.861719,60.861719,64.456578,-11.588133,4.805116,12.544878,30.315882,1502.570369,1017.240477,-0.541675,-0.541675,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,235.000000,-71.563361,-129.396927,57.833566,57.833566,61.428426,-11.588133,4.805116,12.544878,24.920856,1498.498289,978.179038,-0.579228,-0.579228,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,240.000000,-83.632473,-136.801253,53.168780,53.168780,56.763640,-11.588133,4.805116,12.544878,18.167041,1482.213729,939.310675,-0.612372,-0.612372,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,245.000000,-96.708270,-143.164439,46.456169,46.456169,50.051029,-11.588133,4.805116,12.544878,9.659144,1456.319085,903.113125,-0.640856,-0.640856,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,250.000000,-110.574974,-148.438057,37.863083,37.863083,41.457942,-11.588133,4.805116,12.544878,-0.421821,1424.826515,872.208772,-0.664463,-0.664463,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,255.000000,-124.088182,-152.581972,28.493790,28.493790,32.088650,-11.588133,4.805116,12.544878,-10.960263,1392.452482,849.019274,-0.683013,-0.683013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,260.000000,-135.622059,-155.564645,19.942587,19.942587,23.537446,-11.588133,4.805116,12.544878,-20.352987,1363.984644,835.497684,-0.696364,-0.696364,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,265.000000,-144.092119,-157.363378,13.271259,13.271259,16.866119,-11.588133,4.805116,12.544878,-27.531802,1343.759986,832.989291,-0.704416,-0.704416,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,270.000000,-149.332423,-157.964481,8.632058,8.632058,12.226918,-11.588133,4.805116,12.544878,-32.340596,1335.252147,842.217426,-0.707107,-0.707107,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,275.000000,-151.717933,-157.363378,5.645445,5.645445,9.240305,-11.588133,4.805116,12.544878,-35.157616,1340.767237,863.354687,-0.704416,-0.704416,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,280.000000,-151.746702,-155.564645,3.817944,3.817944,7.412803,-11.588133,4.805116,12.544878,-36.477630,1361.275961,896.127206,-0.696364,-0.696364,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,285.000000,-149.852681,-152.581972,2.729291,2.729291,6.324150,-11.588133,4.805116,12.544878,-36.724762,1396.427483,939.909144,-0.683013,-0.683013,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,290.000000,-146.368208,-148.438057,2.069849,2.069849,5.664708,-11.588133,4.805116,12.544878,-36.215055,1444.768842,993.788269,-0.664463,-0.664463,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,295.000000,-141.541139,-143.164439,1.623301,1.623301,5.218160,-11.588133,4.805116,12.544878,-35.173725,1504.136887,1056.603122,-0.640856,-0.640856,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,300.000000,-135.563809,-136.801253,1.237444,1.237444,4.832304,-11.588133,4.805116,12.544878,-33.764295,1572.123537,1126.950655,-0.612372,-0.612372,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,305.000000,-128.598551,-129.396927,0.798377,0.798377,4.393236,-11.588133,4.805116,12.544878,-32.114334,1646.468358,1203.139670,-0.579228,-0.579228,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,310.000000,-120.792660,-121.007813,0.215153,0.215153,3.810012,-11.588133,4.805116,12.544878,-30.330684,1725.240793,1283.047627,-0.541675,-0.541675,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,315.000000,-112.278548,-111.697756,-0.580792,-0.580792,3.014067,-11.588133,4.805116,12.544878,-28.499924,1806.775318,1363.872900,-0.500000,-0.500000,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,320.000000,-103.159649,-101.537611,-1.622038,-1.622038,1.972822,-11.588133,4.805116,12.544878,-26.674624,1889.493800,1441.886986,-0.454519,-0.454519,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,325.000000,-93.490215,-90.604704,-2.885511,-2.885511,0.709349,-11.588133,4.805116,12.544878,-24.853527,1971.852746,1512.423707,-0.405580,-0.405580,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,330.000000,-83.262570,-78.982240,-4.280330,-4.280330,-0.685470,-11.588133,4.805116,12.544878,-22.969227,2052.533753,1570.345973,-0.353553,-0.353553,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,335.000000,-72.412775,-66.758674,-5.654101,-5.654101,-2.059241,-11.588133,4.805116,12.544878,-20.894286,2130.700353,1610.991786,-0.298836,-0.298836,phi45.0_pol0.0
7.738000,E1-E3,45.000000,0.000000,340.000000,-60.843628,-54.027034,-6.816593,-6.816593,-3.221734,-11.588133,4.805116,12.544878,-18.464721,2205.964839,1631.233982,-0.241845,-0.241845,phi45.0_pol0.0
