freq_ghz,source,element,feed,theta_deg,phi_deg,etheta_re,etheta_im,ephi_re,ephi_im,gain_proxy_mag,linpol0_re,linpol0_im,linpol0_mag,linpol0_phase_deg,linpol45_re,linpol45_im,linpol45_mag,linpol45_phase_deg,linpol90_re,linpol90_im,linpol90_mag,linpol90_phase_deg,linpol135_re,linpol135_im,linpol135_mag,linpol135_phase_deg
7.985500,P4A,4,A,270.000000,15.000000,-205.682998,-257.497812,-85.092627,87.670220,351.478934,-205.682998,-257.497812,329.561252,-128.617010,-205.609416,-120.086242,238.109087,-149.712922,-85.092627,87.670220,122.175376,134.145220,85.270269,244.070656,258.537239,70.742263
7.985500,P4A,4,A,275.000000,15.000000,-176.102524,-234.348643,-114.562481,191.357680,368.339123,-176.102524,-234.348643,293.140556,-126.923224,-205.531196,-30.399202,207.767139,-171.586634,-114.562481,191.357680,223.029871,120.908216,43.515382,301.019828,304.148854,81.774314
7.985500,P4A,4,A,280.000000,15.000000,-145.569064,-211.253381,-144.245913,296.627765,417.867512,-145.569064,-211.253381,256.550859,-124.569690,-204.930136,60.368806,213.636966,163.585956,-144.245913,296.627765,329.840741,115.933004,0.935609,359.126202,359.127421,89.850731
7.985500,P4A,4,A,285.000000,15.000000,-113.251353,-189.028326,-174.001741,403.385605,491.481565,-113.251353,-189.028326,220.357839,-120.926825,-203.118611,151.573485,253.439720,143.268544,-174.001741,403.385605,439.313728,113.333115,-42.957011,418.899908,421.096708,95.855055
7.985500,P4A,4,A,290.000000,15.000000,-78.702636,-168.399694,-203.685194,511.361711,580.974198,-78.702636,-168.399694,185.883194,-115.049326,-199.678349,242.510767,314.138370,129.467335,-203.685194,511.361711,550.434789,111.718342,-88.376014,480.663899,488.720885,100.418182
7.985500,P4A,4,A,295.000000,15.000000,-42.115535,-149.976862,-233.012868,620.064294,680.471529,-42.115535,-149.976862,155.777975,-105.685462,-194.545159,332.402011,385.147914,120.339188,-233.012868,620.064294,662.400728,110.595630,-134.984798,544.501323,560.983589,103.923234
7.985500,P4A,4,A,300.000000,15.000000,-4.508418,-134.219325,-261.436488,728.678150,785.720075,-4.508418,-134.219325,134.295023,-91.923838,-188.051446,420.345866,460.493207,114.102459,-261.436488,728.678150,774.158178,109.737065,-181.675581,610.160656,636.633366,106.580921
7.985500,P4A,4,A,305.000000,15.000000,32.233609,-121.424096,-288.069835,835.925479,893.050084,32.233609,-121.424096,125.629681,-75.132987,-180.903530,505.228773,536.639730,109.700547,-288.069835,835.925479,884.169461,109.014559,-226.488737,676.948376,713.832090,108.498857
7.985500,P4A,4,A,310.000000,15.000000,65.515908,-111.762754,-311.706906,939.940320,998.715299,65.515908,-111.762754,129.550173,-59.620946,-174.083324,585.609973,610.937022,106.555549,-311.706906,939.940320,990.277234,108.346767,-266.736810,743.666375,790.055823,109.731796
7.985500,P4A,4,A,315.000000,15.000000,92.375860,-105.374278,-330.936406,1038.238317,1098.678636,92.375860,-105.374278,140.132216,-48.760729,-168.687780,659.634488,680.862119,104.344773,-330.936406,1038.238317,1089.705331,107.679578,-299.326974,808.656221,862.276940,110.312212
