"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
35,8,0,4804.44976686403,0,5827.14177612142,0,-2756.57416324804,0,1579.48016445144
35,8,5,3716.7388975851,5,6376.15745789282,5,-3005.0366700164,5,809.286128104592
35,8,10,2598.18951726151,10,6648.84346733971,10,-3113.13494125179,10,-51.1261679937892
35,8,15,1494.67703216377,15,6641.72390691695,15,-3088.06079271556,15,-937.531562423636
35,8,20,448.084748278145,20,6371.3266228309,20,-2943.99746562367,20,-1791.48583069885
35,8,25,-506.26084276892,25,5870.70227849388,25,-2700.82627228628,25,-2564.93739680186
35,8,30,-1341.54467369219,30,5184.82280360122,30,-2382.71644447811,30,-3223.03297609386
35,8,35,-2040.65991158236,35,4365.46429476711,35,-2016.51707028457,35,-3745.03522896322
35,8,40,-2596.54062542807,40,3466.13324943493,40,-1629.91542393764,40,-4123.55146568001
35,8,45,-3011.61953989557,45,2537.50670112763,45,-1249.45539798126,45,-4362.4756184581
35,8,50,-3296.53544920927,50,1623.75340649301,50,-898.642748678886,50,-4474.13728233373
35,8,55,-3468.33690845344,55,759.999084891361,55,-596.417076419555,55,-4476.13209058332
35,8,60,-3548.47813068829,60,-28.9058132468191,60,-356.208995586296,60,-4388.21448948955
35,8,65,-3560.85587476328,65,-728.271656602708,65,-185.656659249836,65,-4229.52522861873
35,8,70,-3530.02381982852,70,-1332.19824071028,70,-86.9012367404068,70,-4016.34958955395
35,8,75,-3479.61020961911,75,-1841.18798742967,75,-57.2807526616479,75,-3760.56951036479
35,8,80,-3430.9132170705,80,-2259.13413556115,80,-90.217480860618,80,-3468.95376180605
35,8,85,-3401.66904551904,85,-2590.18316372739,85,-176.124031134214,85,-3143.37941210423
35,8,90,-3405.04367908695,90,-2836.0007902419,90,-303.199916299344,90,-2781.96904936899
40,8,0,4618.46869696672,0,6560.06862105841,0,-2979.35639429789,0,1638.54195246636
40,8,5,3354.95464531967,5,7130.23731139165,5,-3156.37998787619,5,681.349123930296
40,8,10,2063.59100526274,10,7357.59493796358,10,-3177.38024436116,10,-351.123301009739
40,8,15,800.607987226749,15,7246.58817933583,15,-3055.11638305977,15,-1379.17565003732
40,8,20,-383.040677109552,20,6825.93727397086,20,-2809.00795549927,20,-2333.75277285315
40,8,25,-1444.90344902934,25,6143.49810190129,25,-2463.67807079448,25,-3161.83016664359
40,8,30,-2353.46701798799,30,5260.04180747425,30,-2047.67490400181,30,-3829.1412690476
40,8,35,-3089.60810362667,35,4242.70204670071,35,-1592.03436450448,35,-4320.2904227192
40,8,40,-3646.89568833535,40,3158.68819301142,40,-1128.42213995151,40,-4636.68650690669
40,8,45,-4030.71910066083,45,2069.72404461217,45,-686.884838831485,45,-4792.98797077363
40,8,50,-4256.44865748807,50,1027.58176650879,50,-293.559143317163,50,-4812.82114093024
40,8,55,-4347.04334028085,55,71.0282918861786,55,31.1682213979705,55,-4724.42319073902
40,8,60,-4330.57339970315,60,-775.557659311224,60,273.671440762244,60,-4556.64167867653
40,8,65,-4237.98079558473,65,-1501.75413990035,65,427.178419541393,65,-4335.51244106107
40,8,70,-4101.14361845578,70,-2108.90145215929,70,491.142060867008,70,-4081.53632217075
40,8,75,-3951.10286677969,75,-2606.45506626959,75,470.225328141785,75,-3807.79884767821
40,8,80,-3816.2734187604,80,-3007.45973040815,80,373.202627544677,80,-3519.14590082632
40,8,85,-3720.59955443503,85,-3323.90353238408,85,211.957362400929,85,-3212.62352306338
40,8,90,-3681.8217271544,90,-3562.74852548391,90,0.649705323285726,90,-2879.23914022821
45,8,0,4385.73929316706,0,7171.79722729248,0,-3163.8523987273,0,1600.98921888353
45,8,5,2965.78671358533,5,7738.44594363971,5,-3253.45813866392,5,458.747574378802
45,8,10,1518.3383816232,10,7901.18129061547,10,-3176.84480108809,10,-732.582845417905
45,8,15,110.515183041992,15,7674.6153618838,15,-2953.67799403663,15,-1878.77463464422
45,8,20,-1197.24333098582,20,7100.8899722274,20,-2608.81717674467,20,-2902.33139058239
45,8,25,-2355.10097408818,25,6242.70049418139,25,-2170.79786613278,25,-3748.27426366819
45,8,30,-3326.72319902334,30,5175.60930525835,30,-1671.06013529752,30,-4386.30173923863
45,8,35,-4090.93382711576,35,3980.4559498497,35,-1143.12715930517,35,-4809.60212000714
45,8,40,-4641.90972899225,40,2736.32093647229,40,-621.044717530065,40,-5031.08242056751
45,8,45,-4987.88083011151,45,1514.30728151125,45,-136.9669664924,45,-5078.0632330024
45,8,50,-5148.66195733362,50,372.413320445451,50,281.568597947837,50,-4986.50878229379
45,8,55,-5152.66545189429,55,-648.105890183744,55,613.825351920624,55,-4795.61103958493
45,8,60,-5034.08232361294,60,-1524.41204152343,60,846.875404062929,60,-4543.13968993406
45,8,65,-4830.60405461258,65,-2251.41703090961,65,975.347541782933,65,-4261.61424763431
45,8,70,-4581.57639863036,70,-2838.72276241356,70,1000.33611730998,70,-3975.23636944338
45,8,75,-4326.14736206599,75,-3305.57458265778,75,928.065005591363,75,-3697.66741972721
45,8,80,-4101.00100443132,80,-3674.67702573181,80,768.732278870001,80,-3430.98351914356
45,8,85,-3937.61585960466,85,-3965.98104265527,85,535.65656523794,85,-3166.23904899477
45,8,90,-3859.41894037111,90,-4191.54256231042,90,244.635983139943,90,-2885.86556830883
50,8,0,4158.27460864917,0,7653.10943962216,0,-3315.93571671308,0,1475.54751701724
50,8,5,2603.9979791711,5,8196.94620714412,5,-3305.71782643413,5,158.042074709548
50,8,10,1018.93178055684,10,8285.36724949556,10,-3124.42449878714,10,-1172.45615846774
50,8,15,-518.301972476021,15,7944.53927830144,15,-2800.02401378075,15,-2409.00057802144
50,8,20,-1937.35876740324,20,7230.0177612446,20,-2362.97764579938,20,-3468.46427007297
50,8,25,-3180.84007646276,25,6217.85766424946,25,-1844.75418750366,25,-4297.22624677439
50,8,30,-4207.58467280214,30,4995.79549723583,30,-1277.99302359064,30,-4872.21499402918
50,8,35,-4994.39791205731,35,3655.25307234409,35,-696.820199410125,35,-5197.94436155596
50,8,40,-5535.9945919341,40,2284.23233284426,40,-135.947316209229,40,-5300.71352949263
50,8,45,-5843.15670546339,45,960.911405555829,45,371.811481627292,45,-5221.42303990182
50,8,50,-5939.59786370489,50,-252.012462354133,50,798.773454839122,50,-5008.39692297167
