valid_count,total_count,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,freq_ghz,phi_deg,linear_pol_deg,strategy,strategy_note,baseline
73,73,100.0,360.00000000000006,-15.162531907929804,344.83746809207025,66.66666666666667,-30.478947547339537,60.980347100757776,40.03833523187374,175.61156403641837,7.738,45.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
71,73,97.26027397260275,321.0132442541857,-14.853375862767535,-14.853375862767507,62.857142857142854,-57.27536533739058,44.03534541977015,25.09537477202358,162.1883608576103,7.738,45.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
73,73,100.0,537.669591594136,22.476191199511618,-337.5238088004884,59.72222222222222,-31.783326363529376,0.0,0.0,0.0,7.738,45.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
73,73,100.0,272.3862493649792,-35.182624543690565,-35.18262454369062,54.166666666666664,-32.202550882410044,114.25690863801573,100.84807116744118,179.69586781685143,7.738,45.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
73,73,100.0,360.0,12.966541706766947,-347.0334582932331,77.77777777777777,-30.89234157404608,74.89763866339224,58.663595287960725,176.40795827949898,7.738,45.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
70,73,95.89041095890411,345.3204693071259,18.179543218535798,18.17954321853577,79.71014492753623,-57.322197284758644,47.1067418568495,32.90677418638678,173.34043668785563,7.738,45.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E3-E4
73,73,100.0,489.8098876515942,-19.69397156445163,-19.69397156445163,62.5,-31.146035292132016,0.0,0.0,0.0,7.738,45.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
73,73,100.0,523.8478845097655,18.82819356198604,378.8281935619859,69.44444444444444,-21.37773195213299,93.54535712865462,79.64653092086371,178.0668895484706,7.738,45.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
73,73,100.0,334.5289639952886,-19.983313428387476,-19.983313428387476,52.77777777777778,-26.13103187356979,77.60519669284392,55.95013512175744,175.82188886242568,7.738,45.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
72,73,98.63013698630137,421.8144741419372,-20.0232093896621,-20.0232093896621,53.521126760563384,-40.02542001787239,47.04395562168487,29.08267519035587,177.63382330028492,7.738,45.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E4-E1
73,73,100.0,360.00000000000006,-5.695929421850849,354.3040705781492,69.44444444444444,-29.042040328844543,0.0,0.0,0.0,7.738,60.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
72,73,98.63013698630137,346.49480032175757,21.174197781170363,21.17419778117042,56.33802816901409,-36.041454048602404,62.45519093354751,52.47128913330173,176.92166961050685,7.738,60.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
73,73,100.0,207.4682542704678,4.782603438992339,4.782603438992368,55.55555555555556,-25.656126884798947,87.81577485671724,62.80900887426209,176.06429714408046,7.738,60.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
72,73,98.63013698630137,306.34174567022364,0.5393265929678819,0.5393265929679103,74.64788732394366,-38.951251526867146,34.121037031787694,23.534556872019987,145.4817670980599,7.738,60.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E3
73,73,100.0,421.78931324713557,11.067075518878426,11.067075518878454,52.77777777777778,-32.37456014955937,0.0,0.0,0.0,7.738,60.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,494.45747848560956,-17.264205743326812,-17.264205743326784,63.888888888888886,-23.22485985317148,78.04146228697839,63.401373996914366,176.29703055432833,7.738,60.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
72,73,98.63013698630137,383.35092473931144,0.19228265834470903,360.1922826583447,84.50704225352112,-37.25614624437003,63.60070499857746,43.87995849157968,179.8411867034538,7.738,60.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
72,73,98.63013698630137,386.3197586162576,4.7082963619964175,4.7082963619964175,50.70422535211268,-35.403140995257836,37.09024581480767,25.29617439799017,136.0499846478736,7.738,60.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E4
73,73,100.0,385.16201594016786,8.119589606273053,8.119589606273053,61.111111111111114,-32.805646492560726,0.0,0.0,0.0,7.738,60.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,415.46986046239925,35.73126788941897,-324.268732110581,77.77777777777777,-19.69569764572006,56.144711542477125,44.870287029570584,171.51660395831613,7.738,60.0,45.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
72,73,98.63013698630137,225.42827118937944,19.849143340529565,19.849143340529565,81.69014084507042,-37.169759669852645,64.59053404760255,46.058549112333566,166.165177553391,7.738,60.0,90.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,258.41063456975667,15.265312568951316,15.265312568951316,66.66666666666667,-26.406481640331112,45.08346909854725,27.64646801042038,134.7485430317289,7.738,60.0,135.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E1-E2
73,73,100.0,536.0231495425458,-13.815519028123902,346.18448097187616,58.333333333333336,-34.86210890256677,0.0,0.0,0.0,7.738,60.0,0.0,x_only_a_port,仅使用 A 口，全局 X 极化通道。,E2-E3
