case,active_pol,freq_ghz,theta_deg,phi_deg,linear_pol_deg,baseline,left_source,right_source,left_mag,right_mag,pdoa_deg,left_mag_rel_db,right_mag_rel_db,valid,phase_error_vs_pol0_deg,reference_phase_slope_deg_per_az_deg,azimuth_error_equiv_deg,pdoa_unwrapped_deg
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,170.000000,0.000000,E1-E3,P1A,P3A,1883.926578,1627.342060,-121.603821,-5.285928,-6.557630,True,0.000000,-2.104962,-0.000000,-121.603821
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,175.000000,0.000000,E1-E3,P1A,P3A,1789.555246,1664.169764,-131.712800,-5.732305,-6.363255,True,0.000000,-1.948913,-0.000000,-131.712800
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,180.000000,0.000000,E1-E3,P1A,P3A,1694.064054,1683.340663,-141.092946,-6.208611,-6.263767,True,0.000000,-1.831881,-0.000000,-141.092946
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,185.000000,0.000000,E1-E3,P1A,P3A,1600.950563,1682.899135,-150.031607,-6.699649,-6.266046,True,0.000000,-1.781260,-0.000000,-150.031607
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,190.000000,0.000000,E1-E3,P1A,P3A,1513.409497,1664.342043,-158.905547,-7.188078,-6.362356,True,0.000000,-1.804478,-0.000000,-158.905547
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,195.000000,0.000000,E1-E3,P1A,P3A,1435.345095,1632.033619,-168.076382,-7.648081,-6.532625,True,0.000000,-1.890699,-0.000000,-168.076382
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,200.000000,0.000000,E1-E3,P1A,P3A,1370.684937,1591.866718,-177.812538,-8.048454,-6.749073,True,0.000000,-2.015810,-0.000000,-177.812538
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,205.000000,0.000000,E1-E3,P1A,P3A,1321.183792,1550.122725,171.765520,-8.367943,-6.979886,True,0.000000,-2.146463,-0.000000,-188.234480
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,210.000000,0.000000,E1-E3,P1A,P3A,1284.561831,1512.488313,160.722833,-8.612107,-7.193367,True,0.000000,-2.245820,-0.000000,-199.277167
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,215.000000,0.000000,E1-E3,P1A,P3A,1254.747063,1482.772610,149.307322,-8.816084,-7.365716,True,0.000000,-2.284463,-0.000000,-210.692678
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,45.000000,220.000000,0.000000,E1-E3,P1A,P3A,1224.333783,1461.626187,137.878207,-9.029211,-7.490481,True,0.000000,-2.252499,-0.000000,-222.121793
