case,active_pol,freq_ghz,theta_deg,linear_pol_deg,baseline,valid_count,total_count,valid_percent,pdoa_span_unwrapped_deg,phase_error_rms_deg,phase_error_mean_abs_deg,phase_error_p95_abs_deg,phase_error_max_abs_deg,azimuth_error_rms_equiv_deg,azimuth_error_p95_abs_equiv_deg,azimuth_error_max_abs_equiv_deg,azimuth_error_sample_count
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,90.000000,E3-E4,72,73,98.630137,180.963145,67.433562,60.389609,106.456805,110.162926,74.509419,146.233399,212.630736,40
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,135.000000,E3-E4,73,73,100.000000,465.159866,58.819642,43.064082,101.841206,160.912596,77.479348,167.593086,192.414901,40
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,0.000000,E4-E1,73,73,100.000000,317.726269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,45.000000,E4-E1,73,73,100.000000,350.342056,74.306119,65.470808,120.725751,122.248200,47.972546,86.715110,126.112706,62
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,90.000000,E4-E1,72,73,98.630137,673.942675,141.058325,134.715082,175.421567,178.288347,97.641620,193.881026,282.578974,61
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,60.000000,135.000000,E4-E1,73,73,100.000000,664.278535,89.837313,82.529029,170.951302,179.431721,64.491417,135.226834,212.763489,62
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,0.000000,E1-E3,73,73,100.000000,239.581726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,45.000000,E1-E3,73,73,100.000000,248.138789,98.302636,87.737661,158.267806,174.798619,80.533921,152.316969,200.852754,56
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,90.000000,E1-E3,72,73,98.630137,589.078375,131.331907,126.760409,171.839197,177.679334,133.475697,255.509033,290.452794,55
A_ON_absorptive_50ohm_c0p08pf,A,8.000000,75.000000,135.000000,E1-E3,73,73,100.000000,359.005775,99.451429,86.608163,167.039530,176.747820,86.465943,194.484997,254.390046,56
