case,active_pol,off_resistance_ohm,off_capacitance_pf,freq_ghz,phi_deg,linear_pol_deg,channel_set,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,mean_abs_slope_deg_per_deg,slope_std_deg_per_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg,valid_count,total_count
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,135.000000,A_feed_only,E2-E4,100.000000,437.597701,13.829065,13.829065,2.447562,2.808058,54.166667,-17.021727,66.550797,51.582606,167.369798,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,0.000000,A_feed_only,E1-E2,100.000000,477.901496,-9.023249,350.976751,1.661046,2.625907,52.777778,-19.869144,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,45.000000,A_feed_only,E1-E2,100.000000,381.476476,-3.436971,-363.436971,1.374207,1.970550,90.277778,-24.468786,61.299293,42.089458,169.945379,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,90.000000,A_feed_only,E1-E2,100.000000,180.963003,3.333780,3.333780,1.506680,2.387787,52.777778,-28.609158,70.120580,50.896001,173.724522,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,135.000000,A_feed_only,E1-E2,100.000000,483.072084,-2.071455,357.928545,1.834834,3.400347,54.166667,-30.654538,30.446187,22.060750,117.866541,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,0.000000,A_feed_only,E2-E3,100.000000,435.198338,-167.409160,-167.409160,2.417769,2.979599,66.666667,-18.207844,0.000000,0.000000,0.000000,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,45.000000,A_feed_only,E2-E3,100.000000,221.093570,-111.119860,-111.119860,1.485585,1.881647,51.388889,-19.542230,75.922151,62.657111,179.866117,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,90.000000,A_feed_only,E2-E3,100.000000,432.062694,-131.697005,228.302995,2.404731,2.950299,59.722222,-28.467172,91.916356,76.429861,178.667486,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,135.000000,A_feed_only,E2-E3,100.000000,452.666342,-166.480574,-166.480574,2.514813,2.723276,59.722222,-18.111305,41.895534,37.478298,77.055345,73,73
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,60.000000,0.000000,A_feed_only,E3-E4,100.000000,121.697433,-109.134892,-109.134892,0.961306,1.406083,52.777778,-15.101938,0.000000,0.000000,0.000000,73,73
