case,active_pol,off_resistance_ohm,off_capacitance_pf,freq_ghz,phi_deg,theta_deg,linear_pol_deg,channel_set,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid,left_mag,right_mag
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,310.000000,0.000000,A_feed_only,E1-E3,104.664158,464.664158,-2.102594,-7.830394,True,1894.545533,979.749439
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,315.000000,0.000000,A_feed_only,E1-E3,111.307922,471.307922,-1.516641,-7.007295,True,2026.761725,1077.134632
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,320.000000,0.000000,A_feed_only,E1-E3,117.538876,477.538876,-1.035885,-6.240216,True,2142.103523,1176.586673
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,325.000000,0.000000,A_feed_only,E1-E3,123.572933,483.572933,-0.663732,-5.542770,True,2235.878157,1274.958982
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,330.000000,0.000000,A_feed_only,E1-E3,129.606288,489.606288,-0.393474,-4.930517,True,2306.540301,1368.071718
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,335.000000,0.000000,A_feed_only,E1-E3,135.818287,495.818287,-0.210084,-4.418008,True,2355.757276,1451.223640
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,340.000000,0.000000,A_feed_only,E1-E3,142.357797,502.357797,-0.094393,-4.014730,True,2387.344284,1520.191220
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,345.000000,0.000000,A_feed_only,E1-E3,149.321094,509.321094,-0.028501,-3.722071,True,2405.523964,1572.284705
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,350.000000,0.000000,A_feed_only,E1-E3,156.733952,516.733952,0.000000,-3.532637,True,2413.430115,1606.951862
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,355.000000,0.000000,A_feed_only,E1-E3,164.546508,524.546508,-0.003033,-3.432170,True,2412.587575,1625.646891
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,360.000000,0.000000,A_feed_only,E1-E3,172.642596,532.642596,-0.036528,-3.403190,True,2403.301762,1631.079956
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,0.000000,45.000000,A_feed_only,E1-E3,-120.825952,-120.825952,-0.192212,-6.756372,True,3029.015286,1422.634984
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,5.000000,45.000000,A_feed_only,E1-E3,-109.459704,-109.459704,-0.052288,-7.789828,True,3078.206060,1263.050337
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,10.000000,45.000000,A_feed_only,E1-E3,-97.847961,-97.847961,0.000000,-8.961473,True,3096.792324,1103.667907
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,15.000000,45.000000,A_feed_only,E1-E3,-86.553048,-86.553048,-0.027758,-10.300100,True,3086.911620,946.034749
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,20.000000,45.000000,A_feed_only,E1-E3,-76.308185,-76.308185,-0.130484,-11.858512,True,3050.618409,790.653993
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,25.000000,45.000000,A_feed_only,E1-E3,-68.055426,-68.055426,-0.307909,-13.714829,True,2988.936009,638.514305
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,30.000000,45.000000,A_feed_only,E1-E3,-63.153201,-63.153201,-0.564526,-15.964052,True,2901.922274,492.843999
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,35.000000,45.000000,A_feed_only,E1-E3,-64.026343,-64.026343,-0.907737,-18.661935,True,2789.492649,361.256238
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,40.000000,45.000000,A_feed_only,E1-E3,-75.254570,-75.254570,-1.345719,-21.507077,True,2652.321328,260.350396
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,45.000000,45.000000,A_feed_only,E1-E3,-99.385419,-99.385419,-1.886172,-22.928868,True,2492.318285,221.038891
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,50.000000,45.000000,A_feed_only,E1-E3,-122.184461,-122.184461,-2.536211,-21.608152,True,2312.605487,257.338323
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,55.000000,45.000000,A_feed_only,E1-E3,-133.256679,-133.256679,-3.303072,-19.288636,True,2117.183331,336.109114
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,60.000000,45.000000,A_feed_only,E1-E3,-136.782370,-136.782370,-4.195314,-17.162735,True,1910.497066,429.314265
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,65.000000,45.000000,A_feed_only,E1-E3,-136.705783,-136.705783,-5.224480,-15.381049,True,1697.024378,527.059499
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,70.000000,45.000000,A_feed_only,E1-E3,-134.887898,-134.887898,-6.407464,-13.880035,True,1480.944811,626.484510
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,75.000000,45.000000,A_feed_only,E1-E3,-132.162481,-132.162481,-7.769944,-12.594065,True,1265.945139,726.455185
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,80.000000,45.000000,A_feed_only,E1-E3,-128.829817,-128.829817,-9.351290,-11.480471,True,1055.231094,825.825914
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,85.000000,45.000000,A_feed_only,E1-E3,-124.760557,-124.760557,-11.210923,-10.514390,True,851.855506,922.980594
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,90.000000,45.000000,A_feed_only,E1-E3,-119.222104,-119.222104,-13.432103,-9.681588,True,659.639937,1015.857259
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,95.000000,45.000000,A_feed_only,E1-E3,-110.255320,-110.255320,-16.091917,-8.973365,True,485.642007,1102.157941
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,100.000000,45.000000,A_feed_only,E1-E3,-93.360247,-93.360247,-19.003697,-8.383386,True,347.317964,1179.621795
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,105.000000,45.000000,A_feed_only,E1-E3,-64.155003,-64.155003,-20.704199,-7.905699,True,285.563132,1246.313021
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,110.000000,45.000000,A_feed_only,E1-E3,-36.097920,-36.097920,-19.411905,-7.533370,True,331.372791,1300.899054
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,115.000000,45.000000,A_feed_only,E1-E3,-22.739863,-22.739863,-16.914654,-7.257428,True,441.752875,1342.890814
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,120.000000,45.000000,A_feed_only,E1-E3,-19.734397,-19.734397,-14.701064,-7.066055,True,569.979060,1372.806487
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,125.000000,45.000000,A_feed_only,E1-E3,-22.548546,-22.548546,-12.978509,-6.944055,True,695.002945,1392.224743
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,130.000000,45.000000,A_feed_only,E1-E3,-29.140013,-29.140013,-11.687171,-6.872601,True,806.405600,1403.724969
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,135.000000,45.000000,A_feed_only,E1-E3,-38.594105,-38.594105,-10.756449,-6.829246,True,897.613989,1410.749044
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,140.000000,45.000000,A_feed_only,E1-E3,-50.424283,-50.424283,-10.130436,-6.788456,True,964.695575,1417.389698
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,145.000000,45.000000,A_feed_only,E1-E3,-64.266231,-64.266231,-9.758477,-6.723938,True,1006.904419,1427.957146
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,150.000000,45.000000,A_feed_only,E1-E3,-79.717534,-79.717534,-9.584397,-6.614706,True,1027.288098,1446.028334
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,155.000000,45.000000,A_feed_only,E1-E3,-96.254497,-96.254497,-9.542192,-6.454715,True,1032.291755,1472.910456
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,160.000000,45.000000,A_feed_only,E1-E3,-113.232385,-113.232385,-9.562520,-6.260684,True,1029.878745,1506.183555
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,165.000000,45.000000,A_feed_only,E1-E3,-129.978455,-129.978455,-9.589638,-6.070656,True,1026.668344,1539.498572
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,170.000000,45.000000,A_feed_only,E1-E3,-145.947635,-145.947635,-9.599174,-5.932547,True,1025.541803,1564.172739
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,175.000000,45.000000,A_feed_only,E1-E3,-160.864514,-160.864514,-9.602886,-5.890347,True,1025.103698,1571.790683
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,180.000000,45.000000,A_feed_only,E1-E3,-174.771415,-174.771415,-9.637153,-5.975690,True,1021.067417,1556.422727
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,185.000000,45.000000,A_feed_only,E1-E3,172.032166,-187.967834,-9.745599,-6.206267,True,1008.398399,1515.649257
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,190.000000,45.000000,A_feed_only,E1-E3,159.102216,-200.897784,-9.966536,-6.587938,True,983.071893,1450.491494
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,195.000000,45.000000,A_feed_only,E1-E3,145.952252,-214.047748,-10.327456,-7.117063,True,943.059936,1364.768365
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,200.000000,45.000000,A_feed_only,E1-E3,132.118305,-227.881695,-10.843446,-7.781651,True,888.668445,1264.240001
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,205.000000,45.000000,A_feed_only,E1-E3,117.188184,-242.811816,-11.516233,-8.562085,True,822.432798,1155.600782
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,210.000000,45.000000,A_feed_only,E1-E3,100.804864,-259.195136,-12.331516,-9.432982,True,748.749004,1045.353083
A_ON_absorptive_50ohm_c0p08pf,A,50.000000,0.080000,7.738000,45.000000,215.000000,45.000000,A_feed_only,E1-E3,82.659987,-277.340013,-13.252754,-10.366790,True,673.401956,938.798893
